Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km
E07000077,Uttlesford,Non-metropolitan District,641.1825,92578,144,80032,125
E10000015,Hertfordshire,County,1643.0647,1204588,733,1119824,682
E07000095,Broxbourne,Non-metropolitan District,51.4422,99103,1926,93702,1822
E07000096,Dacorum,Non-metropolitan District,212.47619999999998,156123,735,145298,684
E07000242,East Hertfordshire,Non-metropolitan District,475.66949999999997,151635,319,138155,290
E07000098,Hertsmere,Non-metropolitan District,101.12809999999999,108106,1069,100379,993
E07000099,North Hertfordshire,Non-metropolitan District,375.3821,134159,357,127494,340
E07000240,St Albans,Non-metropolitan District,161.2059,148358,920,141248,876
E07000243,Stevenage,Non-metropolitan District,25.9692,89737,3456,84247,3244
E07000102,Three Rivers,Non-metropolitan District,88.8242,94123,1060,87921,990
E07000103,Watford,Non-metropolitan District,21.4304,103031,4808,90653,4230
E07000241,Welwyn Hatfield,Non-metropolitan District,129.5369,120213,928,110727,855
E10000020,Norfolk,County,5383.5799,925299,172,859426,160
E07000143,Breckland,Non-metropolitan District,1305.1166,143479,110,131009,100
E07000144,Broadland,Non-metropolitan District,552.0608,133872,242,124740,226
E07000145,Great Yarmouth,Non-metropolitan District,174.31419999999997,99862,573,97424,559
E07000146,King's Lynn and West Norfolk,Non-metropolitan District,1439.5227,155741,108,147936,103
E07000147,North Norfolk,Non-metropolitan District,965.9669,103227,107,101664,105
E07000148,Norwich,Non-metropolitan District,39.0222,144525,3704,132158,3387
E07000149,South Norfolk,Non-metropolitan District,907.5764999999999,144593,159,124495,137
E10000029,Suffolk,County,3799.9696999999996,768555,202,730133,192
E07000200,Babergh,Non-metropolitan District,593.7241,94277,159,87901,148
E07000244,East Suffolk,Non-metropolitan District,1260.9896,247080,196,239946,190
E07000202,Ipswich,Non-metropolitan District,39.509699999999995,139247,3524,133729,3385
E07000203,Mid Suffolk,Non-metropolitan District,871.0708,105723,121,97076,111
E07000245,West Suffolk,Non-metropolitan District,1034.6755,182228,176,171481,166
E12000007,LONDON,Region,1572.0316,8866180,5640,8204407,5219
E09000007,Camden,London Borough,21.789499999999997,218049,10007,220087,10101
E09000001,City of London,London Borough,2.8904,10847,3753,7412,2564
E09000012,Hackney,London Borough,19.0471,261491,13729,247182,12977
E09000013,Hammersmith and Fulham,London Borough,16.403599999999997,185238,11293,182445,11122
E09000014,Haringey,London Borough,29.598499999999998,261811,8845,255540,8634
E09000019,Islington,London Borough,14.8567,220373,14833,206285,13885
E09000020,Kensington and Chelsea,London Borough,12.1257,146154,12053,158251,13051
E09000022,Lambeth,London Borough,26.808000000000003,316812,11818,304481,11358
E09000023,Lewisham,London Borough,35.1483,298653,8497,276938,7879
E09000025,Newham,London Borough,36.198,358645,9908,310460,8577
E09000028,Southwark,London Borough,28.8765,311913,10802,288717,9998
E09000030,Tower Hamlets,London Borough,19.771,325789,16478,256012,12949
E09000032,Wandsworth,London Borough,34.257,329035,9605,307710,8982
E09000033,Westminster,London Borough,21.4771,211365,9841,219582,10224
E09000002,Barking and Dagenham,London Borough,36.1015,219992,6094,187029,5181
E09000003,Barnet,London Borough,86.7481,389101,4485,357538,4122
